age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,name,outcome_subtype,outcome_type,sex_upon_outcome
3 weeks,A670420,Cat,Domestic Shorthair Mix,Black/White,2013-12-16T00:00:00,2014-01-09T19:29:00,Lucy,Partner,Transfer,Intact Male
2 months,A684460,Cat,Domestic Shorthair Mix,Brown Tabby,2014-06-02T00:00:00,2014-08-13T15:04:00,Elsa,partner,Adoption,Spayed Female
8 months,A673952,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-07-05T00:00:00,2014-03-06T14:29:00,Lucy,SCRP,Transfer,Unknown
5 months,A686497,Cat,Domestic Shorthair Mix,Black Tabby,2014-03-22T00:00:00,2014-08-31T15:45:00,Chester,partner,Adoption,Neutered Male
1 year,A668547,Cat,Domestic Medium Hair Mix,Black/White,2012-12-04T00:00:00,2013-12-16T13:59:00,*Preston,Partner,Transfer,Neutered Male
4 months,A669621,Dog,Plott Hound Mix,Brown Brindle/Black,2013-08-23T00:00:00,2013-12-25T09:47:00,Lucy,Partner,Transfer,Intact Female
2 months,A667311,Dog,Labrador Retriever Mix,Yellow,2013-09-01T00:00:00,2013-11-19T18:30:00,Promise,partner,Adoption,Spayed Female
2 months,A682393,Cat,Siamese,Seal Point,2014-04-27T00:00:00,2014-07-03T12:12:00,*Bumble,Partner,Transfer,Intact Female
2 weeks,A681039,Cat,Domestic Shorthair Mix,Black,2014-05-27T00:00:00,2014-06-11T17:11:00,Lucy,Partner,Transfer,Unknown
2 months,A682532,Cat,Domestic Shorthair Mix,Torbie,2014-04-14T00:00:00,2014-07-03T17:01:00,Lucy,partner,Adoption,Spayed Female
3 months,A669918,Dog,Labrador Retriever Mix,Tan/White,2013-09-30T00:00:00,2014-01-03T17:47:00,Lucy,partner,Adoption,Spayed Female
3 months,A683779,Cat,Domestic Shorthair Mix,Black,2014-04-15T00:00:00,2014-07-19T17:36:00,Lucy,partner,Adoption,Spayed Female
12 years,A678098,Dog,Labrador Retriever Mix,Black/White,2002-05-08T00:00:00,2014-07-09T11:54:00,Shades,Foster,Adoption,Neutered Male
3 weeks,A686829,Cat,Domestic Shorthair Mix,Black,2014-08-05T00:00:00,2014-08-27T16:27:00,Lucy,Partner,Transfer,Intact Male
2 years,A677038,Dog,Chihuahua Shorthair Mix,Buff,2012-04-22T00:00:00,2014-04-26T13:00:00,*Penny,partner,Adoption,Spayed Female
4 years,A665344,Dog,Chihuahua Shorthair Mix,Red/White,2009-10-16T00:00:00,2013-11-02T17:47:00,Ginger,partner,Adoption,Spayed Female
1 year,A675394,Dog,Miniature Pinscher Mix,Black/White,2012-09-27T00:00:00,2014-04-03T13:26:00,*Josh,Partner,Transfer,Intact Male
1 year,A683068,Other,Bat,Black/Brown,2013-07-06T00:00:00,2014-07-07T08:40:00,Lucy,Rabies Risk,Euthanasia,Unknown
4 years,A682085,Cat,Russian Blue Mix,Blue,2010-06-24T00:00:00,2014-07-12T15:00:00,Winnie,partner,Adoption,Spayed Female
3 months,A673439,Dog,Cardigan Welsh Corgi/English Setter,White/Black,2013-11-24T00:00:00,2014-02-28T10:47:00,Aria,partner,Adoption,Spayed Female
7 years,A683856,Cat,Russian Blue Mix,Blue,2007-07-16T00:00:00,2014-08-12T15:42:00,Smoke,Foster,Adoption,Neutered Male
3 years,A647382,Dog,Border Collie Mix,Black/White,2010-08-09T00:00:00,2013-10-13T15:10:00,Oreo,partner,Adoption,Spayed Female
1 month,A683517,Cat,Domestic Shorthair Mix,Calico,2014-06-05T00:00:00,2014-07-19T13:08:00,*Dora,Partner,Transfer,Intact Female
2 years,A660098,Dog,Pit Bull Mix,Brown Merle/White,2011-08-03T00:00:00,2013-10-14T11:42:00,Delilah,Partner,Transfer,Spayed Female
2 years,A680225,Cat,Domestic Shorthair Mix,Calico,2012-05-31T00:00:00,2014-06-01T17:15:00,Lucy,SCRP,Transfer,Intact Female
2 months,A662912,Cat,Domestic Shorthair Mix,Chocolate,2013-08-10T00:00:00,2013-10-20T12:21:00,*Cosmo,Partner,Transfer,Neutered Male
6 years,A545127,Dog,Pit Bull Mix,Black/White,2007-05-31T00:00:00,2014-05-04T15:20:00,Ittybitty,Aggressive,Euthanasia,Spayed Female
3 years,A661023,Dog,Miniature Poodle Mix,White,2010-08-15T00:00:00,2013-10-15T11:14:00,Lucky,Foster,Adoption,Neutered Male
3 years,A673648,Dog,Pit Bull Mix,White/Brown,2011-02-28T00:00:00,2014-03-09T11:34:00,Coco,partner,Return to Owner,Intact Female
5 days,A674466,Dog,Pit Bull Mix,Fawn,2014-03-08T00:00:00,2014-03-13T14:58:00,Lucy,Partner,Transfer,Intact Male
1 year,A677479,Dog,Chihuahua Shorthair Mix,Brown/White,2013-04-25T00:00:00,2014-05-01T17:05:00,Tinker Bell,partner,Adoption,Spayed Female
10 months,A664116,Dog,Australian Shepherd/Australian Cattle Dog,Blue Merle/White,2012-11-29T00:00:00,2013-10-05T18:56:00,Maggie,partner,Adoption,Spayed Female
4 weeks,A677218,Cat,Domestic Shorthair Mix,Brown Tabby,2014-03-21T00:00:00,2014-04-21T18:04:00,Lucy,Partner,Transfer,Intact Male
4 months,A676606,Dog,Basenji/Chihuahua Longhair,Red/White,2013-12-17T00:00:00,2014-04-18T12:02:00,*Boudreaux,Partner,Transfer,Neutered Male
1 year,A666831,Dog,Chihuahua Shorthair Mix,Buff,2012-11-07T00:00:00,2013-11-11T15:50:00,Sam,partner,Adoption,Neutered Male
5 months,A683939,Dog,Pit Bull Mix,Blue/White,2014-03-02T00:00:00,2014-08-02T14:38:00,*Maddie,Partner,Transfer,Spayed Female
2 years,A619328,Dog,Labrador Retriever,Tan,2011-11-18T00:00:00,2014-05-31T18:32:00,Tobi,partner,Return to Owner,Neutered Male
2 months,A682652,Dog,Siberian Husky/German Shepherd,White,2014-04-22T00:00:00,2014-07-01T11:45:00,Lucy,Partner,Transfer,Intact Male
4 weeks,A680208,Other,Bat,Brown/Black,2014-04-30T00:00:00,2014-05-30T19:01:00,Lucy,Rabies Risk,Euthanasia,Unknown
1 year,A670066,Cat,Domestic Shorthair Mix,Torbie,2013-01-01T00:00:00,2014-01-12T12:06:00,*Sophie,partner,Adoption,Spayed Female
2 months,A667511,Cat,Domestic Medium Hair Mix,Brown Tabby,2013-09-04T00:00:00,2013-11-19T13:43:00,Lucy,Suffering,Euthanasia,Intact Female
3 years,A674267,Dog,Chihuahua Shorthair Mix,Brown,2011-03-10T00:00:00,2014-03-18T16:04:00,*Bambi,partner,Adoption,Spayed Female
4 weeks,A670730,Dog,German Shepherd/Boxer,Sable,2013-12-13T00:00:00,2014-01-16T17:50:00,Lucy,Partner,Transfer,Intact Male
6 years,A670656,Cat,Domestic Shorthair Mix,Blue Tabby/White,2008-01-11T00:00:00,2014-01-17T12:33:00,Mischief,partner,Return to Owner,Neutered Male
2 years,A669064,Dog,Labrador Retriever/German Shepherd,Black/Brown,2011-12-13T00:00:00,2013-12-27T16:44:00,Lucy,partner,Adoption,Neutered Male
2 days,A680147,Dog,Labrador Retriever Mix,Cream,2014-05-29T00:00:00,2014-05-31T11:22:00,Lucy,Partner,Transfer,Intact Female
2 weeks,A677633,Cat,Domestic Shorthair Mix,Black/White,2014-04-12T00:00:00,2014-04-27T15:35:00,Lucy,Suffering,Euthanasia,Unknown
2 months,A667384,Dog,Pit Bull Mix,White/Tan,2013-09-02T00:00:00,2013-11-21T18:23:00,Lucy,partner,Adoption,Spayed Female
3 years,A676666,Other,Raccoon Mix,Black/Gray,2011-04-13T00:00:00,2014-04-13T16:02:00,Lucy,Medical,Euthanasia,Unknown
3 months,A678060,Cat,Domestic Shorthair Mix,Brown Tabby,2014-03-19T00:00:00,2014-06-24T15:54:00,Lucy,Foster,Adoption,Spayed Female
1 month,A671481,Dog,Chihuahua Shorthair Mix,Black/Tan,2013-12-14T00:00:00,2014-01-29T12:10:00,Dutchess,partner,Adoption,Intact Female
3 years,A674053,Dog,German Shepherd/Chow Chow,Tan,2011-03-06T00:00:00,2014-05-25T16:23:00,Ringo,partner,Adoption,Neutered Male
4 months,A663623,Cat,Domestic Shorthair Mix,Black,2013-06-06T00:00:00,2013-10-10T16:25:00,*Monkey,partner,Adoption,Neutered Male
10 years,A676932,Dog,Yorkshire Terrier Mix,Black/Tan,2004-04-17T00:00:00,2014-04-23T12:18:00,Lucy,Partner,Transfer,Neutered Male
3 months,A663592,Dog,Beagle/Chihuahua Longhair,Brown,2013-07-21T00:00:00,2013-10-29T17:22:00,Bevo,partner,Adoption,Neutered Male
1 year,A685713,Other,Armadillo Mix,Gray,2013-08-11T00:00:00,2014-08-12T10:36:00,Lucy,Medical,Euthanasia,Unknown
1 year,A675014,Other,Bat,Brown,2013-03-21T00:00:00,2014-03-21T15:27:00,Lucy,Rabies Risk,Euthanasia,Unknown
3 years,A624436,Dog,Parson Russell Terrier/Chihuahua Shorthair,White/Brown,2010-10-13T00:00:00,2014-04-01T19:16:00,Chico,partner,Return to Owner,Neutered Male
14 years,A562649,Dog,Border Collie Mix,White/Tricolor,2000-03-20T00:00:00,2014-03-20T18:37:00,Lucy,Suffering,Euthanasia,Spayed Female
2 years,A673137,Other,Rat,Black/White,2012-02-19T00:00:00,2014-02-20T14:49:00,Lucy,Partner,Transfer,Intact Female
1 year,A668644,Dog,Chihuahua Shorthair Mix,White/Tan,2012-06-06T00:00:00,2014-02-11T15:41:00,Chuck,Foster,Adoption,Neutered Male
6 years,A685249,Dog,Catahoula/Labrador Retriever,Red,2008-08-04T00:00:00,2014-08-04T18:20:00,Booger,Suffering,Euthanasia,Neutered Male
1 year,A667028,Cat,Domestic Shorthair Mix,Orange Tabby,2012-11-11T00:00:00,2013-11-30T17:43:00,*Mike,partner,Adoption,Neutered Male
2 months,A675362,Dog,Labrador Retriever Mix,Cream,2014-01-11T00:00:00,2014-03-29T19:29:00,Lucy,Partner,Transfer,Intact Male
2 years,A672190,Cat,Domestic Shorthair Mix,Brown Tabby,2012-02-05T00:00:00,2014-05-13T10:15:00,*Magnolia,Foster,Adoption,Spayed Female
5 months,A662261,Cat,Domestic Medium Hair Mix,Black/White,2013-07-24T00:00:00,2013-12-24T12:55:00,*Kim,Partner,Transfer,Neutered Male
5 years,A670525,Dog,Dachshund Mix,Black/Brown,2009-01-09T00:00:00,2014-01-20T14:25:00,*George,Partner,Transfer,Neutered Male
3 months,A665799,Cat,Domestic Shorthair Mix,Orange Tabby,2013-07-23T00:00:00,2013-11-01T19:24:00,*Alley,partner,Adoption,Neutered Male
2 years,A673438,Cat,Domestic Shorthair Mix,Brown Tabby,2012-02-24T00:00:00,2014-02-26T15:12:00,Lucy,SCRP,Transfer,Unknown
1 month,A669140,Cat,Domestic Shorthair Mix,Orange Tabby,2013-10-24T00:00:00,2013-12-18T16:14:00,*Martin,Partner,Transfer,Intact Male
2 years,A675373,Dog,American Bulldog Mix,White/Brown Brindle,2012-03-26T00:00:00,2014-06-07T14:02:00,Guzi,partner,Return to Owner,Intact Female
8 years,A669576,Cat,Domestic Shorthair Mix,Brown Tabby/White,2005-12-23T00:00:00,2013-12-24T16:29:00,Lucy,Suffering,Euthanasia,Intact Female
6 months,A673284,Other,Hamster Mix,Gray/Brown,2013-08-21T00:00:00,2014-02-22T11:10:00,Lucy,Partner,Transfer,Unknown
8 months,A684123,Dog,Border Collie Mix,Black/White,2013-11-19T00:00:00,2014-07-23T18:33:00,Ruby,partner,Adoption,Spayed Female
1 year,A681482,Dog,Chihuahua Shorthair/Dachshund,Tricolor,2013-06-17T00:00:00,2014-06-26T12:26:00,Chumino,Partner,Transfer,Intact Male
3 weeks,A685582,Cat,Domestic Shorthair Mix,Black/White,2014-07-18T00:00:00,2014-08-09T15:58:00,Lucy,Partner,Transfer,Intact Female
4 weeks,A664633,Other,Raccoon,Brown/Black,2013-09-06T00:00:00,2013-10-06T17:41:00,Lucy,partner,Euthanasia,Unknown
4 years,A681449,Dog,Dogo Argentino Mix,White/Brown,2010-06-16T00:00:00,2014-07-02T19:01:00,Buster,partner,Return to Owner,Neutered Male
2 months,A664486,Cat,Domestic Shorthair Mix,Orange Tabby,2013-08-04T00:00:00,2013-10-09T18:46:00,*Taylor,Partner,Transfer,Intact Female
8 years,A665019,Cat,Domestic Shorthair Mix,Torbie,2005-10-12T00:00:00,2013-12-05T15:30:00,*Amber,partner,Adoption,Spayed Female
4 weeks,A684110,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-06-19T00:00:00,2014-07-19T14:55:00,Lucy,Suffering,Euthanasia,Intact Female
2 months,A665719,Dog,Chihuahua Longhair Mix,Tan,2013-08-21T00:00:00,2013-11-03T17:15:00,Lucy,partner,Adoption,Spayed Female
3 years,A677014,Cat,Domestic Shorthair Mix,Blue/White,2011-04-18T00:00:00,2014-06-16T12:42:00,Jenny,Partner,Transfer,Spayed Female
1 year,A672839,Dog,Dachshund Mix,Brown/White,2012-08-17T00:00:00,2014-02-22T18:22:00,Lucy,Partner,Transfer,Neutered Male
3 months,A677959,Cat,Domestic Shorthair Mix,Blue Tabby,2014-04-01T00:00:00,2014-07-12T11:36:00,Lucy,Foster,Adoption,Spayed Female
3 years,A667121,Dog,Scottish Terrier Mix,Black/White,2010-11-12T00:00:00,2013-12-22T18:09:00,Rockstar,partner,Return to Owner,Spayed Female
2 months,A680473,Cat,Domestic Shorthair Mix,Brown Tabby,2014-04-26T00:00:00,2014-07-12T12:24:00,*Libby,Foster,Adoption,Spayed Female
11 months,A650344,Dog,Boxer/Pit Bull,Brown/White,2013-01-27T00:00:00,2014-01-20T17:21:00,Trixi,partner,Adoption,Spayed Female
8 months,A674808,Dog,Pit Bull Mix,White/Blue,2013-07-09T00:00:00,2014-03-19T16:17:00,Rocko,partner,Return to Owner,Intact Male
1 year,A675177,Dog,Labrador Retriever Mix,Black,2013-03-24T00:00:00,2014-04-28T11:32:00,*Drake,partner,Adoption,Neutered Male
5 months,A664437,Cat,Domestic Shorthair Mix,Orange Tabby/White,2013-05-03T00:00:00,2013-10-03T15:33:00,Lucy,SCRP,Transfer,Intact Male
10 months,A683017,Dog,Chihuahua Shorthair/Cardigan Welsh Corgi,Tan/White,2013-09-05T00:00:00,2014-07-10T17:16:00,Lucy,partner,Adoption,Neutered Male
2 years,A665667,Dog,Shiba Inu Mix,Red/Cream,2011-10-21T00:00:00,2013-10-28T15:34:00,Lucy,Partner,Transfer,Neutered Male
2 months,A678589,Dog,German Shepherd/Pembroke Welsh Corgi,Tricolor/Brown,2014-03-02T00:00:00,2014-05-17T12:12:00,Lucy,partner,Adoption,Neutered Male
3 years,A683956,Cat,Domestic Shorthair Mix,Orange Tabby,2011-07-17T00:00:00,2014-07-27T16:19:00,Lucy,partner,Adoption,Neutered Male
2 months,A664490,Dog,Labrador Retriever Mix,Black,2013-08-28T00:00:00,2013-11-01T08:45:00,*Nikko,Foster,Adoption,Neutered Male
2 years,A666941,Dog,Pit Bull Mix,White,2011-11-09T00:00:00,2014-04-25T15:55:00,*Pearl,Partner,Transfer,Spayed Female
15 years,A678260,Cat,Domestic Shorthair Mix,Blue Tabby,1999-05-06T00:00:00,2014-05-14T15:30:00,Lucy,Partner,Transfer,Intact Female
1 month,A679240,Dog,Beagle/Pug,White/Brown,2014-03-26T00:00:00,2014-05-24T17:03:00,*Jude,Foster,Adoption,Neutered Male
1 year,A672918,Cat,Domestic Shorthair Mix,Brown Tabby,2012-08-18T00:00:00,2014-03-21T15:40:00,*Trinity,partner,Adoption,Spayed Female
3 weeks,A681990,Cat,Domestic Shorthair Mix,Brown Tabby,2014-05-31T00:00:00,2014-06-22T15:11:00,Lucy,Partner,Transfer,Intact Female
4 weeks,A683735,Cat,Domestic Shorthair Mix,Black,2014-06-23T00:00:00,2014-07-25T16:47:00,Lucy,Partner,Transfer,Intact Female
9 years,A515757,Dog,Labrador Retriever,Black,2004-07-20T00:00:00,2013-11-11T10:53:00,Simba,partner,Return to Owner,Neutered Male
2 weeks,A685607,Cat,Siamese Mix,Flame Point,2014-07-25T00:00:00,2014-08-09T18:28:00,Lucy,Partner,Transfer,Intact Female
7 years,A592428,Dog,Brittany,White/Brown,2006-01-23T00:00:00,2013-11-22T18:51:00,Buddy,partner,Return to Owner,Neutered Male
5 years,A666001,Dog,Australian Shepherd Mix,Black/Tan,2008-10-25T00:00:00,2013-10-31T18:02:00,Hershey,partner,Adoption,Spayed Female
10 months,A679736,Cat,Domestic Shorthair Mix,Brown Tabby,2013-07-25T00:00:00,2014-05-26T18:12:00,Lucy,SCRP,Transfer,Intact Female
10 months,A671106,Cat,Domestic Longhair Mix,Black,2013-03-18T00:00:00,2014-01-19T17:35:00,Lucy,SCRP,Transfer,Unknown
11 months,A678573,Cat,Domestic Shorthair Mix,Orange Tabby/White,2013-06-10T00:00:00,2014-06-08T16:53:00,*Orville,partner,Adoption,Neutered Male
1 year,A669193,Dog,Pit Bull Mix,Brown/White,2012-12-16T00:00:00,2013-12-23T17:22:00,Daisy,partner,Return to Owner,Intact Female
5 months,A661614,Dog,Chihuahua Shorthair Mix,White,2013-07-07T00:00:00,2013-12-27T14:28:00,Biscuit,Foster,Adoption,Spayed Female
2 months,A668531,Dog,Australian Cattle Dog Mix,Black/White,2013-10-04T00:00:00,2013-12-06T16:34:00,*Hope,Partner,Transfer,Intact Female
1 year,A626164,Cat,Domestic Shorthair Mix,Black,2012-04-16T00:00:00,2014-01-30T16:11:00,Salem,partner,Adoption,Neutered Male
2 months,A663020,Dog,Chihuahua Shorthair Mix,Black,2013-07-30T00:00:00,2013-10-19T17:04:00,*June,Foster,Adoption,Spayed Female
1 year,A669753,Cat,Domestic Shorthair Mix,Brown Tabby,2012-12-26T00:00:00,2014-01-03T17:19:00,*Ursula,Partner,Transfer,Unknown
4 years,A580685,Dog,Pit Bull Mix,Brown Brindle/White,2009-11-06T00:00:00,2014-03-25T11:33:00,Bella,Aggressive,Euthanasia,Spayed Female
2 months,A685766,Dog,Pointer/Labrador Retriever,Brown/White,2014-06-12T00:00:00,2014-08-15T17:01:00,Bosales,partner,Return to Owner,Spayed Female
2 months,A666264,Dog,Australian Cattle Dog Mix,Red Tick/Brown Merle,2013-08-29T00:00:00,2013-11-01T19:07:00,Ash,partner,Adoption,Intact Female
4 years,A683813,Dog,Chihuahua Shorthair Mix,Black/Tan,2010-07-16T00:00:00,2014-07-26T17:32:00,Lilly,partner,Adoption,Spayed Female
6 months,A667941,Dog,Labrador Retriever Mix,Black,2013-05-25T00:00:00,2013-11-25T18:38:00,Lucy,Partner,Transfer,Intact Female
8 years,A667359,Cat,Domestic Shorthair Mix,White/Orange Tabby,2005-11-16T00:00:00,2013-11-18T17:31:00,Garfield,partner,Return to Owner,Neutered Male
1 year,A677215,Dog,Labrador Retriever Mix,Chocolate/White,2013-04-21T00:00:00,2014-05-14T18:54:00,*Hershey,partner,Adoption,Neutered Male
3 years,A625324,Dog,Pit Bull Mix,Tan/White,2010-04-23T00:00:00,2014-02-10T12:24:00,Noname,partner,Return to Owner,Spayed Female
4 months,A675626,Dog,Whippet Mix,Black,2013-11-30T00:00:00,2014-04-05T13:21:00,Lucy,Partner,Transfer,Neutered Male
6 months,A686388,Cat,Domestic Shorthair Mix,Blue,2014-03-01T00:00:00,2014-09-01T14:11:00,Mina,partner,Adoption,Spayed Female
3 years,A675315,Dog,Dachshund Wirehair Mix,Tricolor,2011-03-26T00:00:00,2014-04-02T15:48:00,*Greta,partner,Adoption,Spayed Female
1 month,A684824,Cat,Domestic Shorthair Mix,Black/White,2014-06-29T00:00:00,2014-08-06T14:23:00,*Michonne,Partner,Transfer,Intact Female
2 years,A672456,Dog,German Shorthair Pointer Mix,Black/Blue Merle,2011-08-10T00:00:00,2014-02-21T18:47:00,Dexter,Partner,Transfer,Neutered Male
5 months,A686978,Cat,Siamese Mix,Seal Point,2014-03-29T00:00:00,2014-08-30T09:00:00,Lucy,SCRP,Transfer,Intact Male
2 years,A672082,Dog,Pit Bull Mix,Blue/White,2012-02-03T00:00:00,2014-02-03T17:19:00,Lola,partner,Return to Owner,Spayed Female
2 months,A680663,Cat,Domestic Shorthair Mix,Torbie,2014-04-05T00:00:00,2014-06-30T18:17:00,*Juliet,partner,Adoption,Spayed Female
9 years,A677147,Dog,Beagle Mix,White/Tan,2005-04-20T00:00:00,2014-04-20T16:21:00,Joy,partner,Return to Owner,Spayed Female
2 weeks,A681042,Cat,Domestic Shorthair Mix,Blue/White,2014-05-27T00:00:00,2014-06-11T17:11:00,Lucy,Partner,Transfer,Unknown
2 months,A680414,Cat,Domestic Shorthair Mix,Blue Tabby/White,2014-04-17T00:00:00,2014-07-08T11:16:00,*Twix,Foster,Adoption,Neutered Male
2 years,A677404,Dog,Pembroke Welsh Corgi/Australian Cattle Dog,Tan/White,2011-10-24T00:00:00,2014-05-05T15:16:00,*Annie,Partner,Transfer,Spayed Female
1 year,A673022,Other,Bat,Brown/Black,2013-02-19T00:00:00,2014-02-19T11:48:00,Lucy,Rabies Risk,Euthanasia,Unknown
1 month,A683224,Cat,Domestic Shorthair Mix,Blue,2014-05-24T00:00:00,2014-07-08T17:01:00,Lucy,Suffering,Euthanasia,Intact Male
4 months,A671082,Dog,Chihuahua Shorthair/Dachshund,White/Black,2013-09-07T00:00:00,2014-01-22T17:41:00,Mcnugget,partner,Adoption,Spayed Female
2 weeks,A677631,Cat,Domestic Shorthair Mix,Black/White,2014-04-12T00:00:00,2014-04-27T12:07:00,Lucy,Partner,Transfer,Unknown
2 months,A677077,Cat,Domestic Medium Hair Mix,Orange Tabby,2014-02-19T00:00:00,2014-04-26T15:43:00,Novio,partner,Adoption,Intact Male
2 months,A682239,Cat,Domestic Shorthair Mix,Tortie,2014-05-25T00:00:00,2014-08-03T16:10:00,*Rust,Foster,Adoption,Spayed Female
3 years,A666882,Dog,Great Pyrenees Mix,White,2010-11-08T00:00:00,2013-12-01T18:09:00,Zeus,partner,Adoption,Neutered Male
6 years,A672684,Dog,Pit Bull Mix,Brown/White,2008-02-14T00:00:00,2014-06-01T11:11:00,*Quest,Partner,Transfer,Spayed Female
7 years,A679110,Dog,Lhasa Apso Mix,Brown/White,2007-05-16T00:00:00,2014-05-19T12:49:00,Lucy,Partner,Transfer,Neutered Male
3 years,A679444,Other,Raccoon Mix,Black/Gray,2011-05-21T00:00:00,2014-05-21T12:25:00,Lucy,Rabies Risk,Euthanasia,Unknown
3 years,A686527,Dog,Tibetan Spaniel Mix,White/Buff,2011-08-23T00:00:00,2014-08-23T17:04:00,Cyrano,partner,Return to Owner,Neutered Male
2 months,A680819,Cat,Domestic Medium Hair Mix,Cream Tabby,2014-03-24T00:00:00,2014-06-15T15:48:00,Lucy,partner,Adoption,Spayed Female
1 month,A682822,Dog,Chihuahua Shorthair Mix,Brown,2014-05-29T00:00:00,2014-07-27T11:45:00,Maxine,Foster,Adoption,Spayed Female
9 years,A568980,Dog,Blue Lacy Mix,Tan,2004-03-19T00:00:00,2013-10-17T13:32:00,Polly,partner,Return to Owner,Spayed Female
2 months,A681211,Dog,Labrador Retriever Mix,Black/Tan,2014-04-13T00:00:00,2014-06-19T17:11:00,Lucy,Partner,Transfer,Intact Male
5 years,A665165,Dog,Miniature Poodle Mix,Apricot,2008-10-14T00:00:00,2013-10-16T17:08:00,Charlie,partner,Adoption,Neutered Male
1 year,A672566,Dog,Pointer Mix,White/Black,2012-08-12T00:00:00,2014-02-13T19:03:00,Cookies,partner,Return to Owner,Spayed Female
8 months,A663004,Dog,Bulldog/Australian Cattle Dog,Black/White,2013-01-14T00:00:00,2013-10-02T18:58:00,*Allie,partner,Adoption,Spayed Female
13 years,A675711,Dog,Yorkshire Terrier Mix,Tan/Silver,2001-04-01T00:00:00,2014-04-01T11:14:00,Jazzmen,partner,Return to Owner,Intact Female
5 years,A563563,Dog,Bullmastiff Mix,Brown Brindle/White,2007-12-26T00:00:00,2013-10-26T17:41:00,Copper,partner,Return to Owner,Neutered Male
4 weeks,A673750,Other,Bat,Brown/Black,2014-02-01T00:00:00,2014-03-01T17:25:00,Lucy,Rabies Risk,Euthanasia,Unknown
1 month,A667421,Dog,German Shepherd Mix,Black/Tan,2013-10-01T00:00:00,2013-11-19T18:58:00,Lucy,Partner,Transfer,Intact Male
1 year,A680076,Dog,Manchester Terrier/Beagle,Black/Brown,2013-05-29T00:00:00,2014-07-06T16:51:00,Dalton,partner,Adoption,Neutered Male
1 year,A682584,Dog,Chihuahua Shorthair Mix,Tan/White,2013-06-30T00:00:00,2014-07-13T16:48:00,Lucy,partner,Adoption,Neutered Male
11 years,A537300,Dog,Rottweiler,Black/Brown,2003-03-22T00:00:00,2014-04-23T17:13:00,Niko,partner,Return to Owner,Neutered Male
11 months,A670245,Dog,Doberman Pinsch Mix,Brown/Tan,2013-02-04T00:00:00,2014-01-11T13:25:00,*Fiona,partner,Adoption,Spayed Female
2 months,A680264,Dog,German Shepherd,Black/Tan,2014-03-16T00:00:00,2014-05-31T16:31:00,Lucy,Partner,Transfer,Intact Female
2 months,A665817,Dog,Chihuahua Shorthair Mix,White/Chocolate,2013-08-08T00:00:00,2013-10-27T16:30:00,Lucy,Partner,Transfer,Neutered Male
1 year,A677021,Other,Raccoon,Black/Gray,2013-04-18T00:00:00,2014-04-18T12:53:00,Lucy,Suffering,Euthanasia,Intact Male
2 years,A682550,Dog,Labrador Retriever Mix,Chocolate,2012-06-29T00:00:00,2014-08-30T11:42:00,Booboo,partner,Return to Owner,Neutered Male
